9	1765 73064	1454630400 1454803200
15	34164 65523	1454371200 1454371200
19	79183	1454544000
43	19311 21325	1454371200 1454371200
44	4082 35155 47964 78252 85000 90563	1454284800 1454284800 1454284800 1454284800 1454284800 1454284800
66	43346	1454371200
100	1946	1454544000
114	2683 10624	1454544000 1454544000
126	81487 93294	1454630400 1454630400
135	9734	1454284800
140	42549	1454284800
151	57427	1454544000
168	11558 32911 106916	1454371200 1454371200 1454371200
178	72143	1454371200
188	86598 33272	1454371200 1454716800
204	99428	1454457600
221	63192	1454630400
227	95184	1454284800
232	15192 29955	1454630400 1454630400
249	27985 48555	1454630400 1454630400
253	96769	1454457600
255	3412 14476 15190 77289 105111	1454803200 1454803200 1454803200 1454803200 1454803200
271	70988 83610	1454630400 1454630400
273	44285	1454284800
275	92669	1454544000
285	51477 101479	1454284800 1454371200
330	16430	1454457600
334	96425	1454371200
336	106542	1454630400
337	11463	1454457600
339	60285 81787	1454803200 1454803200
342	2116	1454284800
346	3717 7021 7684 100783	1454284800 1454284800 1454284800 1454284800
348	2331 5454 11796 27153 37538 37577 52895 64231 64667 74121 95670 18903 85781	1454371200 1454371200 1454371200 1454371200 1454371200 1454371200 1454371200 1454371200 1454371200 1454371200 1454371200 1454457600 1454457600
372	98434	1454544000
383	77974	1454371200
389	73798	1454371200
393	6173	1454371200
398	33802 54090	1454284800 1454284800
401	36863 46076	1454371200 1454371200
415	73947 82096	1454544000 1454544000
422	82689	1454371200
462	105680	1454803200
474	96167	1454457600
477	5236 72137	1454457600 1454457600
479	5149	1454716800
498	67976	1454544000
504	94912 23684	1454544000 1454630400
505	101189	1454716800
511	6280	1454284800
515	7376 36244 44245	1454716800 1454716800 1454716800
527	10272 16091 80824 105378	1454457600 1454457600 1454457600 1454457600
534	69468	1454803200
535	62772	1454716800
556	91501	1454457600
576	3280 37375 37487 56499 63473 91201 77135	1454630400 1454630400 1454630400 1454630400 1454630400 1454630400 1454716800
578	93197	1454371200
579	23815	1454803200
582	40377	1454544000
593	5879 15365 28275	1454457600 1454457600 1454457600
595	53213	1454716800
599	32536 35290 44428 78815	1454544000 1454544000 1454544000 1454544000
636	29784 83879 105073	1454284800 1454284800 1454284800
643	95	1454716800
646	77756	1454544000
651	24594 14427	1454371200 1454630400
671	95570 106202	1454284800 1454284800
695	87423	1454630400
696	95666	1454544000
722	78670	1454803200
730	12881 89901 104953	1454544000 1454544000 1454544000
735	19175 28259	1454371200 1454371200
740	74885	1454716800
742	81219	1454284800
753	3712 69876 85944	1454630400 1454630400 1454630400
755	36125 75162 82947	1454803200 1454803200 1454803200
769	24326 82646	1454544000 1454544000
771	38673	1454284800
794	7359	1454630400
813	11198 22165	1454630400 1454630400
839	56112	1454371200
893	5150 9487 27199 30738 37210 83921 97383 102014	1454284800 1454284800 1454284800 1454284800 1454284800 1454284800 1454284800 1454284800
900	88498 103159	1454630400 1454803200
901	24758	1454457600
904	50074 21498	1454630400 1454803200
912	58765 75835	1454284800 1454284800
916	79696 69546	1454457600 1454716800
943	16591 52183	1454371200 1454630400
945	58261	1454544000
963	79016	1454716800
968	4605 39405 79968	1454457600 1454457600 1454457600
973	99867	1454457600
976	4532 50978 62796 33113	1454284800 1454284800 1454284800 1454544000
983	95846	1454630400
989	53393	1454457600
991	65724	1454544000
993	46579 53471 74576	1454803200 1454803200 1454803200
1036	38188 106424	1454630400 1454630400
1046	77524 81644	1454371200 1454803200
1065	92295 61523	1454284800 1454457600
1070	67102	1454716800
1088	88477	1454630400
1103	98114	1454716800
1138	77291	1454284800
